country,iso3,metric_id,latest_observation_year,latest_value,source_id,source_indicator_id,years_behind_metric_max
Russian Federation,RUS,gdp_per_capita_current_usd,2025,17546.609375,world_bank_wdi,NY.GDP.PCAP.CD,0
Italy,ITA,gdp_per_capita_current_usd,2025,43308.6403060733,world_bank_wdi,NY.GDP.PCAP.CD,0
Canada,CAN,gdp_per_capita_current_usd,2025,55697.6639660837,world_bank_wdi,NY.GDP.PCAP.CD,0
Brazil,BRA,gdp_per_capita_current_usd,2025,10713.2856869511,world_bank_wdi,NY.GDP.PCAP.CD,0
Spain,ESP,gdp_per_capita_current_usd,2025,38627.2472148623,world_bank_wdi,NY.GDP.PCAP.CD,0
"Korea, Rep.",KOR,gdp_per_capita_current_usd,2025,36226.9663637512,world_bank_wdi,NY.GDP.PCAP.CD,0
Mexico,MEX,gdp_per_capita_current_usd,2025,13889.2339628708,world_bank_wdi,NY.GDP.PCAP.CD,0
Australia,AUS,gdp_per_capita_current_usd,2025,65129.7227990563,world_bank_wdi,NY.GDP.PCAP.CD,0
Turkiye,TUR,gdp_per_capita_current_usd,2025,18599.4420922378,world_bank_wdi,NY.GDP.PCAP.CD,0
Indonesia,IDN,gdp_per_capita_current_usd,2025,5059.62596411213,world_bank_wdi,NY.GDP.PCAP.CD,0
Netherlands,NLD,gdp_per_capita_current_usd,2025,73683.917132794,world_bank_wdi,NY.GDP.PCAP.CD,0
Saudi Arabia,SAU,gdp_per_capita_current_usd,2025,34536.6555456551,world_bank_wdi,NY.GDP.PCAP.CD,0
Switzerland,CHE,gdp_per_capita_current_usd,2025,114769.012314293,world_bank_wdi,NY.GDP.PCAP.CD,0
Poland,POL,gdp_per_capita_current_usd,2025,28419.5777395638,world_bank_wdi,NY.GDP.PCAP.CD,0
Belgium,BEL,gdp_per_capita_current_usd,2025,60750.2735864647,world_bank_wdi,NY.GDP.PCAP.CD,0
Ireland,IRL,gdp_per_capita_current_usd,2025,131592.462547877,world_bank_wdi,NY.GDP.PCAP.CD,0
Argentina,ARG,gdp_per_capita_current_usd,2025,14898.0885943842,world_bank_wdi,NY.GDP.PCAP.CD,0
Sweden,SWE,gdp_per_capita_current_usd,2025,63133.2126736715,world_bank_wdi,NY.GDP.PCAP.CD,0
Israel,ISR,gdp_per_capita_current_usd,2025,60336.8477964194,world_bank_wdi,NY.GDP.PCAP.CD,0
Singapore,SGP,gdp_per_capita_current_usd,2025,98813.9788172877,world_bank_wdi,NY.GDP.PCAP.CD,0
Austria,AUT,gdp_per_capita_current_usd,2025,62930.0351324599,world_bank_wdi,NY.GDP.PCAP.CD,0
Thailand,THA,gdp_per_capita_current_usd,2025,8056.56359761558,world_bank_wdi,NY.GDP.PCAP.CD,0
Norway,NOR,gdp_per_capita_current_usd,2025,94594.1929573987,world_bank_wdi,NY.GDP.PCAP.CD,0
Viet Nam,VNM,gdp_per_capita_current_usd,2025,5065.99091899299,world_bank_wdi,NY.GDP.PCAP.CD,0
Philippines,PHL,gdp_per_capita_current_usd,2025,4170.72347271451,world_bank_wdi,NY.GDP.PCAP.CD,0
Malaysia,MYS,gdp_per_capita_current_usd,2025,13124.5554178269,world_bank_wdi,NY.GDP.PCAP.CD,0
Denmark,DNK,gdp_per_capita_current_usd,2025,76970.1535217919,world_bank_wdi,NY.GDP.PCAP.CD,0
Colombia,COL,gdp_per_capita_current_usd,2025,8561.62091854449,world_bank_wdi,NY.GDP.PCAP.CD,0
Bangladesh,BGD,gdp_per_capita_current_usd,2025,2597.34352335275,world_bank_wdi,NY.GDP.PCAP.CD,0
Romania,ROU,gdp_per_capita_current_usd,2025,22537.9532108047,world_bank_wdi,NY.GDP.PCAP.CD,0
"Hong Kong SAR, China",HKG,gdp_per_capita_current_usd,2025,56983.0663059906,world_bank_wdi,NY.GDP.PCAP.CD,0
