metric_id,iso3,country,missing_year_ranges,missing_year_count
gdp_growth_pct,NOR,Norway,None,0
gdp_growth_pct,VNM,Viet Nam,None,0
gdp_growth_pct,PHL,Philippines,None,0
gdp_growth_pct,MYS,Malaysia,None,0
gdp_growth_pct,DNK,Denmark,None,0
gdp_growth_pct,COL,Colombia,None,0
gdp_growth_pct,BGD,Bangladesh,None,0
gdp_growth_pct,ROU,Romania,1990,1
gdp_growth_pct,HKG,"Hong Kong SAR, China",None,0
gdp_growth_pct,ZAF,South Africa,None,0
gdp_growth_pct,PAK,Pakistan,None,0
gdp_growth_pct,CZE,Czechia,1990,1
gdp_growth_pct,EGY,"Egypt, Arab Rep.",None,0
gdp_growth_pct,IRN,"Iran, Islamic Rep.",None,0
gdp_growth_pct,CHL,Chile,None,0
gdp_growth_pct,PRT,Portugal,None,0
gdp_growth_pct,PER,Peru,None,0
gdp_growth_pct,FIN,Finland,None,0
gdp_growth_pct,KAZ,Kazakhstan,1990,1
gdp_growth_pct,NGA,Nigeria,None,0
gdp_growth_pct,DZA,Algeria,None,0
population,USA,United States,None,0
population,CHN,China,None,0
population,DEU,Germany,None,0
population,JPN,Japan,None,0
population,GBR,United Kingdom,None,0
population,IND,India,None,0
population,FRA,France,None,0
population,RUS,Russian Federation,None,0
population,ITA,Italy,None,0
population,CAN,Canada,None,0
population,BRA,Brazil,None,0
population,ESP,Spain,None,0
population,KOR,"Korea, Rep.",None,0
population,MEX,Mexico,None,0
population,AUS,Australia,None,0
population,TUR,Turkiye,None,0
population,IDN,Indonesia,None,0
population,NLD,Netherlands,None,0
population,SAU,Saudi Arabia,None,0
population,CHE,Switzerland,None,0
population,POL,Poland,None,0
population,BEL,Belgium,None,0
population,IRL,Ireland,None,0
population,ARG,Argentina,None,0
population,SWE,Sweden,None,0
population,ISR,Israel,None,0
population,SGP,Singapore,None,0
population,AUT,Austria,None,0
population,THA,Thailand,None,0
population,NOR,Norway,None,0
population,VNM,Viet Nam,None,0
population,PHL,Philippines,None,0
population,MYS,Malaysia,None,0
population,DNK,Denmark,None,0
population,COL,Colombia,None,0
population,BGD,Bangladesh,None,0
population,ROU,Romania,None,0
population,HKG,"Hong Kong SAR, China",None,0
population,ZAF,South Africa,None,0
population,PAK,Pakistan,None,0
population,CZE,Czechia,None,0
population,EGY,"Egypt, Arab Rep.",None,0
population,IRN,"Iran, Islamic Rep.",None,0
population,CHL,Chile,None,0
population,PRT,Portugal,None,0
population,PER,Peru,None,0
population,FIN,Finland,None,0
population,KAZ,Kazakhstan,None,0
